Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.478026308158688,1.55394927953674,b3553,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b3617,b2407,b1982,b1033,b0261,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.478021897795285,1.55393494249681,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2407,b1982,b3616,b3589,b0261,b0507,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.480460411270075,1.53671851275694,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1982,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.410931454186252,0.651729657504387,b3916,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b2926,b3617,b0030,b2407,b1851,b0907,b1982,b1200,b0261,b2406,b0112,b0114,b1723,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.642838709650525,0.40845714476041,b4069,b4384,b3708,b3008,b3752,b2297,b2458,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.478026308158646,1.55394927955213,b3553,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b0160,b1982,b3616,b3589,b1033,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.639338143363806,0.40623289894569,b2836,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.478021897795328,1.55393494249889,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0030,b2407,b1982,b4374,b2361,b2291,b0261,b0411,b0507,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
28,0.478021897795357,1.55393494250151,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b2407,b1982,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
28,0.510958605243098,0.605419522590426,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2779,b2407,b1982,b3616,b3589,b0261,b0411,b0507,b4381,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
28,0.484366142518673,0.573910911268127,b3553,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2926,b2407,b1982,b3616,b3589,b1033,b0261,b0411,b0507,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
28,0.648351764062414,0.411960117491478,b3399,b4069,b2744,b3708,b3008,b2297,b2458,b2926,b0160,b1982,b2688,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3821,,,,,,,,,,,,,,,,,,,,,,,,
28,0.642124584057401,0.382748889171709,b2836,b3399,b4069,b2744,b3708,b3008,b2297,b2458,b2779,b0160,b1982,b2797,b3117,b1814,b4471,b2440,b0675,b2361,b0261,b4381,b2406,b0114,b2366,b0529,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,
29,0.478021897795361,1.55393494249704,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b2975,b0114,b3603,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,
29,0.714149160831956,0.219603109783703,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b3844,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0452,b0114,b0529,b1539,b2492,b0904,b2947,b2578,b1533,b3927,b3825,b3662,,,,,,,,,,,,,,,,,,,,,,,
