Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.508670423675392,0.225446419684502,b4467,b4069,b3926,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1602,b2492,b0904,b1380,b2660,b0606,b2285,,,,,,,,,,,,,,,
20,0.508670423675336,0.22544641968902,b3553,b4069,b3926,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1033,b1602,b2913,b2492,b0904,b1380,b0606,b2285,,,,,,,,,,,,,,
20,0.506076914264028,0.22429695746161,b4467,b4069,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b2210,b1602,b2913,b1727,b2492,b0904,b1380,b0606,b2285,,,,,,,,,,,,,,
20,0.580894722195436,0.0559102455971855,b4467,b1478,b1241,b4069,b2297,b2458,b2926,b3844,b1851,b1004,b3713,b1109,b0046,b3236,b4015,b1602,b2913,b1380,b0606,b2285,,,,,,,,,,,,,,
21,0.594695815994863,0.0572385801807181,b4467,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b4015,b1602,b2913,b1380,b0606,b2285,,,,,,,,,,,,,
22,0.503146107448208,0.25960074989788,b4467,b2836,b4069,b3926,b3115,b1849,b2296,b1004,b3713,b1109,b0046,b3236,b1779,b1602,b3915,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,,,
22,0.50867042367545,0.225446419640949,b3553,b1478,b1241,b4069,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b1602,b2492,b0904,b1380,b2660,b0606,b2285,,,,,,,,,,,,
22,0.516832174823253,0.153840652780365,b4467,b4269,b0493,b3588,b3003,b3011,b3926,b0871,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1602,b2913,b2492,b0904,b1380,b0606,b2285,,,,,,,,,,,,
22,0.605589847510051,0.0582871144124481,b4467,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2210,b1602,b0507,b1380,b2660,b0606,b2285,,,,,,,,,,,,
22,0.51045484516607,0.0302934532368651,b4467,b1241,b0351,b3926,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1602,b2913,b4381,b0529,b2492,b0904,b1380,b1517,b0606,b2285,,,,,,,,,,,,
22,0.575353528406605,0.0539579485241375,b4467,b1478,b1241,b4069,b2297,b2458,b2779,b1851,b1004,b3713,b1109,b0046,b3236,b4015,b1602,b2913,b3915,b1380,b0606,b0221,b2285,b4209,,,,,,,,,,,,
23,0.475093765306748,2.29037392644188,b4467,b1241,b0351,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b3946,b2210,b0825,b1602,b1727,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,,
23,0.506498662555714,1.52366206717099,b4467,b1241,b0351,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b1302,b2662,b4015,b1602,b1727,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,,
23,0.573282998527906,0.660762520975608,b3553,b1478,b1241,b0351,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2690,b1033,b1493,b3517,b4015,b1602,b1380,b2660,b0606,b2285,,,,,,,,,,,
23,0.501707302129731,0.293427403873625,b4467,b4069,b4384,b3926,b2297,b2458,b2779,b1004,b3713,b1109,b0046,b3236,b1602,b4381,b3915,b2492,b0904,b1380,b2660,b1695,b0606,b2285,b4209,,,,,,,,,,,
23,0.611350145392516,0.0591141966092615,b3553,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b2779,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0907,b1033,b1602,b1380,b2660,b0606,b2285,,,,,,,,,,,
23,0.510454845166069,0.0302934532373546,b3553,b1241,b0351,b0871,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b1602,b4381,b1727,b0529,b2492,b0904,b1380,b2660,b1511,b0606,b2285,,,,,,,,,,,
23,0.510467858547434,0.0301798807399457,b3553,b0474,b1241,b0351,b3926,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1033,b1602,b2913,b4381,b0529,b2492,b0904,b1380,b0606,b2285,,,,,,,,,,,
23,0.570077074679321,0.598464577854278,b4467,b1241,b0351,b2925,b2097,b2926,b1004,b3713,b1109,b0046,b3236,b2690,b1525,b4015,b2661,b1602,b1727,b1380,b2660,b1695,b0606,b2285,b4209,,,,,,,,,,,
24,0.450911892084824,2.46363925413535,b4467,b1478,b1241,b0351,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b1525,b3946,b0825,b4015,b2661,b0726,b1602,b2913,b2492,b0904,b1380,b2285,,,,,,,,,,
24,0.488870792195704,1.65228780560654,b4467,b1241,b0351,b2930,b4232,b3697,b3925,b0871,b1004,b3713,b1109,b0046,b3236,b2690,b2210,b1602,b1727,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,
24,0.548004484968888,0.805938840766473,b4467,b1241,b0351,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b1302,b2662,b4015,b1602,b2913,b0452,b1727,b0755,b3612,b1380,b0606,b2285,b4209,,,,,,,,,,
24,0.566260497506373,0.721742183875828,b3553,b1241,b0351,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b1779,b2690,b1302,b2662,b1033,b4015,b1602,b0452,b1727,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,
