Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.768240118701286,0.0558956079718005,b3399,b2744,b3708,b3008,b0871,b2925,b2097,b0160,b0583,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b3945,b2868,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,
51,0.43442107510732,0.141312311633092,b3553,b1478,b1241,b4069,b4384,b2744,b1278,b3708,b3614,b0910,b3752,b2297,b2458,b2926,b2781,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1759,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b0261,b0411,b2799,b3945,b1602,b4381,b2406,b3915,b0452,b1539,b2492,b0904,b1533,b1380,b3918,b2660,b4141,b1798,b0606,b2285,
52,0.317287531900352,0.0852742764000695,b3399,b3942,b1732,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1779,b3962,b1982,b4139,b0104,b2797,b3117,b1814,b4471,b4267,b4374,b0675,b2361,b2291,b1415,b1014,b4014,b0261,b2976,b2799,b3945,b0507,b3709,b2913,b3161,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b2954,b3035,b1533,b3821,b1380,b0508,b1473,b4266
