Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.627011432998539,0.830936713639975,b3073,b3124,b1493,b3517,b4014,b2976,b0726,b0529,b0514,b2285,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.640131490421552,2.0606094771876,b4069,b3115,b1849,b2296,b2779,b2925,b2097,b3236,b2690,b3945,b4388,b4381,b0114,b2492,b0904,b1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.671764204077067,0.00153598895908982,b3553,b1241,b0351,b4069,b2297,b2458,b3617,b0517,b1033,b2943,b0114,b0509,b3125,b2492,b0904,b1517,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.6757521839603,1.76069181230537,b3708,b3008,b0871,b2779,b2925,b2097,b0517,b2797,b3117,b1814,b4471,b3946,b0825,b0114,b1539,b2492,b0904,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.699266556158813,0.293672882498709,b4382,b4069,b4384,b3752,b3115,b1849,b2296,b2779,b2925,b2097,b2407,b3236,b3946,b0825,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.556017956731358,0.0166087182038272,b3403,b1479,b2779,b2925,b2097,b1850,b1779,b2690,b2463,b1493,b3517,b0726,b3945,b4388,b1444,b0529,b0118,b2285,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.48827633780558,0.481323282762865,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b3124,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.493608126033764,0.473158558385009,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.569834399934849,0.463608292872995,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2779,b2926,b3617,b2407,b0517,b0261,b4388,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.556017956731358,0.0166087182029296,b3553,b3403,b1479,b2779,b2925,b2097,b1850,b2463,b1525,b0331,b3946,b0825,b1033,b2661,b0726,b4388,b0509,b3125,b0529,b2285,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.424680383169681,0.407086405753752,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b3617,b0030,b2407,b1779,b1982,b0261,b4388,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.424680383169612,0.407086405736727,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2779,b3617,b2407,b1779,b1982,b0261,b2913,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.454147882108461,0.447680816281089,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b3617,b0030,b2407,b1982,b0261,b2406,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b0514,b3662,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.420320761177835,0.414335393558682,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b2926,b0030,b2407,b1982,b3616,b3589,b0261,b2913,b2406,b0112,b0114,b0529,b2492,b0904,b3662,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.420320761177835,0.414335393558682,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b0030,b2407,b1779,b1982,b3616,b3589,b0261,b2913,b2406,b0112,b0114,b0529,b2492,b0904,b3662,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.424680383169605,0.407086405767245,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2779,b2926,b3617,b1982,b4374,b0675,b2361,b2291,b0261,b4388,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.516254719943736,0.25399095506534,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b0160,b3124,b1982,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.48827633780559,0.481323282761958,b3399,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2407,b3124,b1982,b3616,b3589,b0675,b2361,b0261,b0112,b0114,b0529,b2492,b0904,b0514,b3662,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.420320761177878,0.414335393561737,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2779,b1779,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b2913,b0112,b0114,b0529,b2492,b0904,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.426184804385604,0.402905205307697,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b2779,b3617,b0907,b1779,b1982,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.516254719943761,0.253990955071451,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b1982,b1033,b0675,b2361,b2291,b0261,b4381,b0112,b0114,b0509,b3125,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.672206140915361,1.89239872058707,b1478,b1241,b3708,b0910,b0871,b3115,b1849,b2296,b2779,b2925,b2097,b0517,b2690,b2797,b3117,b1814,b4471,b0675,b0822,b0114,b2366,b2492,b0904,b1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.424680383169692,0.407086405770733,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b2779,b2926,b3617,b2407,b1982,b4374,b2361,b2291,b0261,b2913,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.445824292208614,0.362466183724327,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2779,b3617,b0030,b2407,b1779,b1982,b0261,b4388,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.485100510547343,0.23866346827017,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b2779,b3617,b1982,b0675,b2361,b2291,b0261,b4381,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
