Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.715564599877282,0.034356533236565,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3821,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.715562882387364,0.0343564507745153,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b2197,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.711446365234281,0.0341535907281983,b2836,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b2197,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.661307545996193,0.0317514794485798,b0474,b2518,b3831,b3752,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.66130754599622,0.0317514794440987,b0474,b2518,b3831,b1278,b3752,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.657790614354899,0.0315778005541785,b2836,b0474,b2518,b3831,b3752,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.626786215895533,0.0300894079106098,b2836,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b4138,b4123,b0621,b2406,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.460114658500674,0.22044938749461,b3553,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1982,b1033,b0261,b0507,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
22,0.715562882387382,0.0343564507742789,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b2197,b3821,b3918,b0789,b1249,b1206,,,,,,,,,,,,,,,,,,,,,,,,
22,0.710126311407709,0.0340902204143671,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b2440,b4161,b4138,b4123,b0621,b4381,b2406,b0452,b2197,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,
22,0.626787229063936,0.0300894565518553,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b3449,b4138,b4123,b0621,b4381,b2406,b0452,b3918,b0418,b1206,,,,,,,,,,,,,,,,,,,,,,,,
23,0.46011201140577,0.22044811922228,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,
23,0.448300404666712,0.214788961401219,b1241,b0351,b4069,b4384,b2297,b2458,b0030,b2407,b1612,b1611,b4122,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,
