Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
4,0.164294839046369,4.35537981100725,YGR087C,YLR044C,YLR134W,YJL121C,,,,
5,0.164534006971022,4.3405669815327,YGR087C,YLR044C,YLR134W,YOR375C,YAL062W,,,
8,0.169927803422381,3.95510422592548,YGR087C,YLR044C,YLR134W,YOR348C,YPL265W,YCL025C,YKR039W,YOL020W
