Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
3,0.435465726026482,0.299165389248342,STM2081,STM0007,STM2473,,,
5,0.435465726026482,0.299165389248189,STM1886,STM3542,STM4485,STM0007,STM2473,
5,0.435465726026487,0.299165389248474,STM0169,STM0861,STM0785,STM0007,STM2473,
5,0.435465726026487,0.299165389248474,STM1886,STM0169,STM0861,STM0007,STM2473,
5,0.435465726026482,0.299165389248189,STM3542,STM4485,STM0785,STM0007,STM2473,
6,0.435465726026481,0.299165389250368,STM4482,STM3512,STM3541,STM0785,STM0007,STM2473
6,0.435465726026481,0.299165389250368,STM4482,STM1886,STM3512,STM3541,STM0007,STM2473
