Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.65706829239829,0.191159902663795,b2836,b3399,b4382,b4069,b4384,b2744,b3708,b0512,b2297,b2458,b2779,b0030,b2407,b3236,b1982,b2797,b3117,b1814,b4471,b2210,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b1511,,,,,,,,,,,,,,,,,,,,,
28,0.777844803758901,0.179005943224382,b4384,b2744,b3708,b3008,b3752,b0871,b2883,b1982,b2797,b3117,b1814,b4471,b4381,b2868,b4064,b4464,b0114,b0886,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b2413,b1511,b3662,,,,,,,,,,,,,,,,,,,,,
29,0.666220113372419,0.282605686484261,b3399,b4069,b2502,b2744,b3708,b2297,b2458,b2779,b1238,b1982,b2797,b3117,b1814,b4471,b3449,b1623,b3665,b0675,b2361,b4381,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b0494,b1511,,,,,,,,,,,,,,,,,,,,
29,0.666625277763638,0.26533463722449,b3399,b4069,b4384,b2744,b3708,b0910,b2297,b2458,b2926,b0160,b1982,b2797,b3117,b1814,b4471,b2440,b3665,b0675,b2361,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b1517,,,,,,,,,,,,,,,,,,,,
29,0.54803881736417,0.232474047376771,b4382,b4069,b4384,b3708,b3115,b1849,b2296,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b2406,b2868,b0837,b0124,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b3662,b1517,b2285,,,,,,,,,,,,,,,,,,,,
29,0.775201927561788,0.0964114277327237,b2836,b3399,b4382,b4384,b2744,b3708,b3008,b0512,b0871,b2925,b2097,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b3945,b0511,b0114,b1539,b2492,b0904,b1533,b3927,b1518,,,,,,,,,,,,,,,,,,,,
29,0.782900992750796,0.126142112658031,b4384,b2744,b3708,b3008,b3752,b0871,b2925,b2097,b2883,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b2440,b0261,b0411,b4381,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,
30,0.692925365104944,0.159407526424223,b4382,b0474,b2518,b4384,b3708,b3008,b3752,b0871,b2926,b2407,b1982,b2797,b3117,b1814,b4471,b3449,b2406,b0452,b2868,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b2413,b3662,b1518,,,,,,,,,,,,,,,,,,,
30,0.406997691561449,0.0922820325255601,b3399,b2502,b2744,b3708,b3008,b0512,b0871,b2779,b2925,b2097,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b3945,b4381,b0452,b0114,b2366,b2492,b0904,b1533,b3927,b1517,b2285,,,,,,,,,,,,,,,,,,,
31,0.396869340611006,0.59277555635028,b3399,b3942,b1732,b0474,b2518,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b2779,b3617,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0114,b1539,b2492,b0904,b1533,b1511,b2285,,,,,,,,,,,,,,,,,,
31,0.782809582043351,0.146552633192466,b3399,b2502,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b2690,b1982,b2797,b3117,b1814,b4471,b1623,b3665,b4374,b0675,b2361,b2291,b3945,b0114,b1539,b2492,b0904,b1533,b3927,b3821,b1517,,,,,,,,,,,,,,,,,,
