Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.412069996402161,0.789721228250351,b1241,b0351,b4069,b4384,b2297,b2458,b1850,b0030,b2407,b1779,b1982,b3616,b3589,b0261,b0507,b4381,b2406,b0112,b2868,b0114,b0529,b2492,b0904,b1380,b3662,,,,,,,,,,,,,,,
39,0.335065936610515,0.526981988189251,b3553,b1478,b4382,b1241,b4069,b4384,b2297,b2458,b2926,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b1982,b1033,b0261,b0411,b2799,b1602,b0153,b2913,b0590,b0529,b2492,b0904,b1781,b3001,b1380,b0325,b1771,b0606,b2285,b1009,
40,0.689092221783001,0.138358490335443,b3553,b4382,b4069,b4384,b3708,b3008,b2930,b4232,b3697,b3925,b2297,b2458,b0030,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b1033,b0595,b0261,b3945,b0507,b2406,b0112,b2943,b0114,b2366,b0529,b2492,b0904,b2947,b2578,b1533,b3927,b3825,b0494,b3662
