Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
8,0.0434035134978946,0.244167835905653,Rv3303c,Rv0843,Rv0462,Rv0694,Rv3601c,Rv0084,Rv2899c,Rv3535c,,,,
8,0.0453265439861994,0.150376847828738,Rv0843,Rv0462,Rv2496c,Rv0162c,Rv0211,Rv0694,Rv0084,Rv2899c,,,,
8,0.0453265439861996,0.150377230552961,Rv0843,Rv0462,Rv2496c,Rv1902c,Rv0162c,Rv0211,Rv0084,Rv2899c,,,,
8,0.0453265439861994,0.150377223461548,Rv3303c,Rv0843,Rv0462,Rv0162c,Rv0211,Rv0694,Rv0084,Rv2899c,,,,
8,0.0433595888543034,0.268714722866599,Rv3303c,Rv0843,Rv0462,Rv0162c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,
8,0.0368947426676789,0.101744549148891,Rv2697c,Rv2967c,Rv3859c,Rv2476c,Rv1902c,Rv1240,Rv0211,Rv0694,,,,
8,0.043403513419832,0.244167858967558,Rv0843,Rv0462,Rv2495c,Rv0753c,Rv0694,Rv0084,Rv2899c,Rv3535c,,,,
8,0.04335958893757,0.268714795878547,Rv0843,Rv0462,Rv2495c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,,
8,0.0434035134146278,0.244167772121727,Rv0843,Rv0462,Rv2495c,Rv0694,Rv3601c,Rv0084,Rv2899c,Rv3535c,,,,
8,0.0434035134562611,0.244167498405274,Rv0843,Rv0462,Rv2495c,Rv0753c,Rv1902c,Rv0084,Rv2899c,Rv3535c,,,,
9,0.0433724260309584,0.261540726508579,Rv2495c,Rv2215,Rv0753c,Rv0162c,Rv1240,Rv0211,Rv0522,Rv0084,Rv2899c,,,
9,0.0433724259979987,0.261540689608405,Rv3303c,Rv0843,Rv0462,Rv0162c,Rv1240,Rv0211,Rv3601c,Rv0084,Rv2899c,,,
9,0.0433724259979987,0.261540683962262,Rv0843,Rv0462,Rv2496c,Rv0162c,Rv1240,Rv0211,Rv3601c,Rv0084,Rv2899c,,,
