Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.253292952896569,0.174012511939633,STM1885,STM2952,STM2081,STM0974,STM0150,STM0568,STM2317,STM1937,STM0977,STM0007,STM2473,,,,,,,,,,,,,,,,
13,0.253292952896567,0.174012511935916,STM2952,STM1570,STM4036,STM3542,STM4485,STM0785,STM0150,STM0568,STM2317,STM4578,STM1937,STM0007,STM2473,,,,,,,,,,,,,,
27,0.23711737304383,0.16289987239574,STM2285,STM3526,STM3091,STM1290,STM0169,STM0861,STM4326,STM1511,STM1620,STM0370,STM0785,STM0150,STM0518,STM4484,STM0568,STM2317,STM3500,STM3179,STM1480,STM4126,STM3248,STM0519,STM1937,STM0007,STM2473,STM0054,STM3353
