Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.181793973142767,1.17636121365647,STM2927,STM3747,STM2081,STM0974,STM0152,STM0542,STM3957,STM0935,STM4569,,,,,,,,,,,,,,,,,,,,,,
9,0.267087358671127,0.827218621327094,STM2927,STM3747,STM1886,STM4567,STM2458,STM0974,STM0152,STM0542,STM0935,,,,,,,,,,,,,,,,,,,,,,
9,0.267087358671128,0.827218621324225,STM2927,STM3747,STM1886,STM4567,STM0974,STM0152,STM0542,STM3957,STM0935,,,,,,,,,,,,,,,,,,,,,,
9,0.226472106672728,0.00168631130530703,STM2927,STM3747,STM0483,STM2081,STM0974,STM0152,STM0542,STM0935,STM4569,,,,,,,,,,,,,,,,,,,,,,
10,0.214836041411777,0.00159966916379215,STM2927,STM3747,STM1749,STM2463,STM2081,STM0974,STM0152,STM0542,STM0935,STM4569,,,,,,,,,,,,,,,,,,,,,
11,0.362326441256966,0.389313782765746,STM2927,STM3747,STM1749,STM2463,STM3680,STM3709,STM0974,STM0152,STM0542,STM0935,STM4452,,,,,,,,,,,,,,,,,,,,
11,0.362326441256814,0.389313782741022,STM2927,STM3747,STM1749,STM2463,STM3680,STM3709,STM0974,STM0152,STM0542,STM0935,STM1651,,,,,,,,,,,,,,,,,,,,
11,0.362326441256827,0.389313782742792,STM2927,STM3747,STM1749,STM2463,STM3680,STM0974,STM0152,STM0542,STM0935,STM3708,STM1651,,,,,,,,,,,,,,,,,,,,
11,0.362326441256827,0.389313782742615,STM2927,STM3747,STM1749,STM2463,STM3680,STM0974,STM0152,STM0542,STM0935,STM4452,STM3708,,,,,,,,,,,,,,,,,,,,
11,0.363801393050222,0.388189728935175,STM0051,STM1749,STM2463,STM3680,STM0974,STM0152,STM0542,STM0935,STM2422,STM3708,STM1651,,,,,,,,,,,,,,,,,,,,
11,0.364790663908255,0.372006040843459,STM2927,STM3747,STM1749,STM2463,STM3680,STM0974,STM0152,STM0542,STM0935,STM4569,STM3708,,,,,,,,,,,,,,,,,,,,
11,0.364790663908233,0.372006040841106,STM2927,STM3747,STM1749,STM2463,STM3680,STM4567,STM3709,STM0974,STM0152,STM0542,STM0935,,,,,,,,,,,,,,,,,,,,
11,0.364790663908247,0.372006040842872,STM2927,STM3747,STM1749,STM2463,STM3680,STM4567,STM0974,STM0152,STM0542,STM0935,STM3708,,,,,,,,,,,,,,,,,,,,
