Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.219431851250859,0.0551711437359894,PHATRDRAFT_10454,PHATRDRAFT_20310,,
4,0.301452322883098,0.0406601812471743,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51245
4,0.305901819829935,0.037549197395241,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913
