Deletion size,Max growth rate,Min production rate,Deleted genes,,,
3,0.280566175576534,0.335189607367709,YLR027C,YHR208W,YGR244C,
4,0.280424799864204,0.335020706325491,YLR027C,YHR208W,YKL141W,YMR118C
