Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,
5,0.813238763029494,3.36103529689964,b0871,b4381,b0114,b2492,b0904,,,,,,,,,,,,,,
6,0.81323654466707,3.36102612829144,b4384,b0871,b2407,b0114,b2492,b0904,,,,,,,,,,,,,
6,0.812066041426641,3.35618855466723,b0474,b2518,b0871,b0114,b2492,b0904,,,,,,,,,,,,,
6,0.811324256859874,3.35312283243119,b2297,b2458,b4381,b0114,b2492,b0904,,,,,,,,,,,,,
7,0.668514796969395,12.7029267880811,b1241,b0351,b0871,b0114,b2492,b0904,b2285,,,,,,,,,,,,
7,0.811324256859888,3.35312283238216,b1241,b0351,b2297,b2458,b0114,b2492,b0904,,,,,,,,,,,,
7,0.818097588110779,0.182966058641203,b0474,b0871,b0477,b0726,b0114,b2492,b0904,,,,,,,,,,,,
7,0.62070767883582,0.00152259592424223,b3236,b2210,b0726,b0114,b2492,b0904,b2285,,,,,,,,,,,,
8,0.623992419525084,4.88483631232761,b0871,b1525,b2661,b0726,b0114,b2492,b0904,b2285,,,,,,,,,,,
8,0.813236544667111,3.36102612878183,b0238,b0125,b0474,b0871,b0477,b0114,b2492,b0904,,,,,,,,,,,
8,0.811324256859871,3.35312283236969,b1241,b0351,b3115,b1849,b2296,b0114,b2492,b0904,,,,,,,,,,,
11,0.825306177103198,0.00835015120108638,b0871,b2925,b2097,b1302,b2662,b3946,b0825,b0726,b0114,b2492,b0904,,,,,,,,
12,0.820263181188626,0.1305082197152,b3115,b1849,b2296,b2925,b2097,b3236,b2690,b0726,b3945,b0114,b2492,b0904,,,,,,,
15,0.545923865958712,0.439823016771288,b4467,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1602,b2913,b1727,b2492,b0904,b1380,b2285,,,,
18,0.548319727351497,2.2661511493529,b4467,b3942,b1732,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1602,b1727,b2492,b0904,b1380,b0606,b2285,b4209,
19,0.55222030318215,2.28227184324164,b4467,b3942,b1732,b1241,b0351,b3926,b0871,b3844,b1004,b3713,b1109,b0046,b2210,b1602,b2492,b0904,b1380,b0606,b2285
19,0.535903431069426,2.21483582618648,b4467,b3942,b1732,b3926,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1602,b2492,b0904,b1380,b0606,b2285
19,0.547611347964297,0.441182534862583,b4467,b4269,b0493,b3588,b3003,b3011,b3926,b0871,b1004,b3713,b1109,b0046,b3236,b1602,b2913,b2492,b0904,b1380,b2285
