Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.0827842398545597,1.71651332743715,TM0273,TM1640,TM1217,,
4,0.0827915473835757,1.71649677223031,TM0209,TM0289,TM1640,TM1217,
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0064,TM1667
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0064,TM0296
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0067,TM1667
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0067,TM0296
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0296,TM0068
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0068,TM1667
5,0.0875673688605578,1.43365043228016,TM1385,TM1062,TM1640,TM1217,TM0296
5,0.0875673688605578,1.43365043228016,TM1385,TM1062,TM1640,TM1217,TM1667
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0296,TM0069
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0069,TM1667
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0583,TM1667
5,0.0875673688605578,1.43365043228016,TM1385,TM1640,TM1217,TM0296,TM0583
