Deletion size,Max growth rate,Min production rate,Deleted genes,
1,0.226656569889147,0.0399436873117007,TM0913,
1,0.226656569889147,0.0399436873116556,TM0167,
1,0.226656569889147,0.0399436873116972,TM1559,
1,0.226656569889208,0.039943687311706,TM1662,
1,0.226656609289862,0.0399436942552201,TM1744,
1,0.219776851506217,0.0387312745333946,TM0289,
2,0.226656569889201,0.0399436873116589,TM1384,TM0206
2,0.226656569889203,0.0399436873116581,TM1737,TM1596
2,0.226656569889201,0.0399436873117007,TM0936,TM1384
2,0.103989167509708,0.0183303785347915,TM1384,TM0273
