Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.664450461037171,1.68445098499373,b0871,b2779,b2925,b2097,b0907,b3946,b0825,b1493,b3517,b0726,b4381,b2789,b3127,b0114,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.468322227687629,0.350349516915538,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2926,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.466462214680068,0.348948651240094,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.525294560048664,0.392970233891599,b4382,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b0030,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3821,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.524372713739704,0.356665901779808,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b0452,b0114,b1539,b2492,b0904,b1533,b0514,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.468322227687616,0.350349516901501,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b2779,b3617,b0030,b2407,b1238,b1779,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b4381,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.464808729676222,0.347721086609199,b4382,b2066,b1241,b0351,b4069,b4384,b3708,b0910,b3752,b2297,b2458,b2779,b2926,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b2498,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.761674548346728,0.00106063179566618,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b3124,b0121,b1982,b2797,b3117,b1814,b4471,b0596,b0261,b2406,b2789,b3127,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.468322227687657,0.35034951691088,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b2926,b3617,b0030,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b2406,b0112,b2789,b3127,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,,
33,0.489187447570841,0.103882949491577,b2836,b3553,b1478,b1241,b4069,b3708,b2297,b2458,b2779,b1004,b3713,b1109,b0046,b3236,b1779,b2797,b3117,b1814,b4471,b1033,b0261,b1602,b2913,b4381,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b1380,b2285,,,,,,,,,,,,,,,,,,,,,,,,
34,0.525294560048678,0.392970233901114,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3124,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b1701,b1805,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b0514,,,,,,,,,,,,,,,,,,,,,,,
