Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.650881118268745,0.149400214440953,b3399,b4382,b2502,b4384,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b2779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0675,b2361,b0261,b4381,b2239,b3453,b0114,b2366,b2492,b0904,b1533,b3927,b3825,,,,,,,,,
34,0.387169327846619,0.627223119196607,b4467,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b0675,b2361,b2799,b3945,b1602,b2913,b4381,b3915,b0452,b0529,b1539,b2492,b0904,b1380,b1517,b0606,b2285,b1008,b4209,,,,,,,,
34,0.447735706326934,0.206893297068043,b3553,b3399,b4382,b4069,b4384,b2744,b2297,b2458,b2926,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b1033,b1623,b3945,b1602,b2913,b2406,b1727,b0114,b0529,b2492,b0904,b1380,b1511,b0606,b2285,,,,,,,,
35,0.397799805683765,0.654853564857503,b3553,b1478,b4382,b1241,b4069,b4384,b3752,b2297,b2458,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b1033,b2799,b3945,b1602,b2406,b3915,b0452,b0529,b2492,b0904,b1380,b2660,b3662,b1517,b0606,b2285,b1009,b4209,,,,,,,
35,0.393615035750842,0.619330035455055,b4467,b1478,b3399,b4382,b1241,b4069,b4384,b2744,b3115,b1849,b2296,b2926,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b0675,b2361,b2799,b3945,b1602,b2913,b0529,b2492,b0904,b1380,b1511,b0606,b2285,b1009,,,,,,,
35,0.475941760195352,0.200421010741657,b4467,b2836,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0411,b1602,b2913,b4381,b1727,b0114,b2366,b2492,b0904,b1533,b3927,b1380,b1518,b0606,b2285,,,,,,,
35,0.467265200701944,0.113012761438908,b3553,b3399,b4269,b0493,b3588,b3003,b3011,b2502,b2744,b0871,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b1033,b0675,b2361,b1602,b4381,b3915,b1727,b0114,b0529,b2492,b0904,b1380,b2660,b1771,b1511,b0606,b2285,,,,,,,
38,0.444485036157141,0.721318984113293,b3553,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b4384,b2744,b3752,b0512,b0871,b1004,b3713,b1109,b0046,b2883,b1982,b3616,b3589,b2210,b1033,b1623,b4374,b2361,b2291,b0411,b0114,b0529,b2492,b0904,b1380,b3662,b1518,b2285,,,,
38,0.479037465478199,0.0923641717839846,b4467,b4269,b0493,b3588,b3003,b3011,b4384,b3752,b0871,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b1623,b3665,b3945,b1602,b4381,b2406,b3915,b1727,b0114,b0755,b3612,b0529,b2492,b0904,b3029,b1380,b2660,b1518,b0221,b2285,,,,
42,0.403893171272386,0.635502075297251,b4467,b1478,b1241,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b2779,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b1982,b4374,b2361,b2291,b0411,b2799,b1602,b0153,b2913,b0529,b2492,b0904,b1781,b3001,b0591,b1380,b0325,b1771,b1517,b0606,b2285,b1007
