Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.156817069278276,0.0299331946731627,STM1203,STM1832,STM3646,STM0737,STM2654,STM4340,STM1884,STM1465,STM0840,STM0842,STM4085,STM4415,STM1135,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM1480,STM1378,STM1888,STM0977,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,,,
32,0.0840210528817122,0.495592279411426,STM1203,STM1832,STM1749,STM2463,STM4340,STM0980,STM1884,STM1465,STM0840,STM0842,STM4085,STM4415,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM2051,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0842774480460873,0.49438511970493,STM1203,STM1832,STM1749,STM2463,STM4340,STM1884,STM1465,STM4109,STM0840,STM0842,STM4085,STM4415,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM2051,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0835382238963815,0.455471508700498,STM1203,STM1832,STM1749,STM2463,STM4340,STM0980,STM3680,STM1884,STM1465,STM0840,STM0842,STM4085,STM4415,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0835382238963815,0.455471508694473,STM1203,STM1832,STM1749,STM2463,STM4340,STM0980,STM3680,STM1884,STM1465,STM0840,STM0842,STM3068,STM2141,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0837916702611221,0.454140571777771,STM1203,STM1832,STM1749,STM2463,STM4340,STM3680,STM1884,STM1465,STM4109,STM0840,STM0842,STM4085,STM4415,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0837916763212098,0.454149581797878,STM1203,STM1832,STM1749,STM2463,STM4340,STM3680,STM1884,STM1465,STM4109,STM0840,STM0842,STM3068,STM2141,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0838245406843663,0.453605205565451,STM1203,STM1832,STM1749,STM2463,STM4340,STM4236,STM3680,STM1884,STM1465,STM0840,STM0842,STM3068,STM2141,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0838245406843661,0.453605205556824,STM1203,STM1832,STM1749,STM2463,STM4340,STM4236,STM3680,STM1884,STM1465,STM0840,STM0842,STM4085,STM4415,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.094667498541074,0.302795695297618,STM1203,STM1832,STM4483,STM1749,STM2463,STM4340,STM1884,STM1465,STM0840,STM0842,STM3068,STM2141,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM2051,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
32,0.0937602164575354,0.114380253391687,STM1203,STM1832,STM4483,STM1749,STM2463,STM4340,STM3680,STM1884,STM1465,STM0840,STM0842,STM3068,STM2141,STM1620,STM1647,STM2167,STM0974,STM1566,STM2472,STM1076,STM1211,STM2317,STM0935,STM1480,STM1378,STM1888,STM4301,STM3599,STM4325,STM0627,STM0054,STM3353,,,,
