Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.359606707775731,0.0161028308507603,PHATRDRAFT_10454,PHATRDRAFT_859,,
2,0.359606707775728,0.0100398182257347,PHATRDRAFT_26290,PHATRDRAFT_10454,,
4,0.359606707775591,0.0397962274733308,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078
