Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
7,0.0698970030299095,0.202644051705569,PHATRDRAFT_55126,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,PHATRDRAFT_43552,PHATRDRAFT_draft18,PHATRDRAFT_26190,,,,,,,,,,
10,0.150313289791564,0.182676086650249,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_draft1186,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_46664,PHATRDRAFT_20310,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,,,,,,,
10,0.221341508982243,0.165039248918987,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_40430,PHATRDRAFT_draft1572,Phatr3_EG02251,PHATRDRAFT_42458,PHATRDRAFT_draft18,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,,,,
10,0.221341508982368,0.165039248922596,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_34120,PHATRDRAFT_19244,PHATRDRAFT_40430,PHATRDRAFT_draft1572,PHATRDRAFT_draft18,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,,,,
10,0.226207043543861,0.163831100317225,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_48983,PHATRDRAFT_22404,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,,,,,,,
10,0.22620704354388,0.16383110031893,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_34120,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,,,,,,,
10,0.227885267674744,0.163414384724888,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_34120,PHATRDRAFT_draft1572,PHATRDRAFT_19708,PHATRDRAFT_42458,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,,,,,,,
10,0.105049343090649,0.193915462928093,PHATRDRAFT_13643,PHATRDRAFT_42015,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_55192,PHATRDRAFT_draft1186,PHATRDRAFT_28191,PHATRDRAFT_46664,PHATRDRAFT_35580,PHATRDRAFT_draft18,,,,,,,
11,0.0642285495447327,0.204051571077986,PHATRDRAFT_42015,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_34120,PHATRDRAFT_draft1572,PHATRDRAFT_28191,PHATRDRAFT_27166,PHATRDRAFT_45592,PHATRDRAFT_draft18,PHATRDRAFT_23365,,,,,,
11,0.150313289789701,0.182676086640334,PHATRDRAFT_42015,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_draft1186,PHATRDRAFT_28191,PHATRDRAFT_46664,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,PHATRDRAFT_42245,PHATRDRAFT_23365,,,,,,
11,0.219589788392526,0.165474214236099,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_48983,PHATRDRAFT_22404,PHATRDRAFT_40430,PHATRDRAFT_draft1572,Phatr3_EG02251,PHATRDRAFT_28191,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_draft18,,,,,,
11,0.221341508982346,0.165039248921801,PHATRDRAFT_27976,Phatr3_EG02261,PHATRDRAFT_22913,PHATRDRAFT_55079,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_34120,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_42458,PHATRDRAFT_draft18,,,,,,
12,0.150313289789266,0.182676086640107,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_draft1186,PHATRDRAFT_40430,PHATRDRAFT_draft348,PHATRDRAFT_46664,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,PHATRDRAFT_43697,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,,
12,0.226207043543893,0.163831100322852,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_42458,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,,,,,
13,0.0657827952766497,0.203665640246538,PHATRDRAFT_13643,PHATRDRAFT_42015,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_22404,PHATRDRAFT_8691,PHATRDRAFT_draft1572,PHATRDRAFT_27166,PHATRDRAFT_45592,PHATRDRAFT_11319,PHATRDRAFT_draft18,PHATRDRAFT_8945,PHATRDRAFT_41686,,,,
15,0.358946577187101,0.130870881968264,PHATRDRAFT_27726,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_55126,PHATRDRAFT_48983,Phatr3_EG02269,PHATRDRAFT_22122,PHATRDRAFT_20310,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_draft18,,
16,0.238447936869425,0.160791595009947,PHATRDRAFT_27726,Phatr3_EG02261,PHATRDRAFT_55126,PHATRDRAFT_22404,Phatr3_EG02269,PHATRDRAFT_34120,PHATRDRAFT_19244,PHATRDRAFT_22122,PHATRDRAFT_draft1572,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_draft18,
16,0.32284123433261,0.139836108459022,Phatr3_EG02215,Phatr3_EG02261,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_22404,PHATRDRAFT_29157,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_31906,PHATRDRAFT_50742,Phatr3_EG02569,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_draft18,
16,0.347886809558956,0.133617104949636,Phatr3_EG02261,PHATRDRAFT_22404,Phatr3_EG02269,PHATRDRAFT_29016,PHATRDRAFT_29157,Phatr3_EG02251,PHATRDRAFT_31906,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_draft18,
16,0.359606707775731,0.12327672529333,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_50577,Phatr3_EG02261,PHATRDRAFT_55126,PHATRDRAFT_22404,PHATRDRAFT_29157,PHATRDRAFT_22357,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_draft18,
17,0.279664157927622,0.150557299257024,PHATRDRAFT_27726,Phatr3_EG02261,PHATRDRAFT_22404,Phatr3_EG02269,PHATRDRAFT_29157,Phatr3_EG02251,PHATRDRAFT_50742,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,PHATRDRAFT_draft462,PHATRDRAFT_46692,PHATRDRAFT_17265,PHATRDRAFT_49073,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585
17,0.359606707775734,0.0756671849789257,PHATRDRAFT_27726,Phatr3_EG02261,PHATRDRAFT_55126,PHATRDRAFT_48983,PHATRDRAFT_22404,PHATRDRAFT_19244,PHATRDRAFT_22122,PHATRDRAFT_draft1572,Phatr3_EG02251,Phatr3_EG02569,PHATRDRAFT_50804,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_draft18,PHATRDRAFT_23365
17,0.35960670777573,0.0449111264633331,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_30145,PHATRDRAFT_55126,PHATRDRAFT_22122,PHATRDRAFT_draft1572,PHATRDRAFT_36913,PHATRDRAFT_22357,PHATRDRAFT_45846,PHATRDRAFT_36048,PHATRDRAFT_51703,Phatr3_EG02569,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,PHATRDRAFT_43697,PHATRDRAFT_draft18
