Deletion size,Max growth rate,Min production rate,Deleted genes,,,
3,0.266347737584415,0.318202978769385,YLR027C,YDR148C,YHR208W,
4,0.266324778435568,0.318175550272476,YLR027C,YHR208W,YJL045W,YKL148C
