Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
5,0.0516407829914406,0.00931077449783164,Rv2443,Rv1098c,Rv1872c,Rv3150,Rv1555,,,,
5,0.0498230270062087,0.00898304453403766,Rv2443,Rv1098c,Rv0694,Rv3150,Rv1555,,,,
6,0.0499401221740099,0.0287636612243715,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1098c,Rv1555,,,
6,0.051640782991441,0.00931078364074067,Rv2443,Rv2332,Rv1240,Rv1872c,Rv3150,Rv1555,,,
6,0.0498230270617198,0.00898305240299779,Rv2443,Rv1188,Rv1098c,Rv0694,Rv3150,Rv0859,,,
6,0.0498230270339645,0.00898307578289304,Rv2443,Rv2332,Rv1240,Rv0694,Rv3150,Rv1555,,,
6,0.051640782991441,0.0093107852345844,Rv2443,Rv1188,Rv1098c,Rv1872c,Rv3150,Rv0859,,,
7,0.0494565277239099,0.0125809485221158,Rv3319,Rv0247c,Rv0248c,Rv0234c,Rv1731,Rv1555,Rv1475c,,
7,0.0494565276961541,0.0125809484666924,Rv3319,Rv0247c,Rv0248c,Rv3432c,Rv1248c,Rv1555,Rv1475c,,
7,0.0498230269160036,0.00898303788083207,Rv2443,Rv2332,Rv1240,Rv1188,Rv0694,Rv3150,Rv0859,,
7,0.051640782991441,0.00931078163027865,Rv2443,Rv2332,Rv1240,Rv1188,Rv1872c,Rv3150,Rv0859,,
7,0.0516407829914402,0.00931078693530732,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1098c,Rv0859,,
7,0.0499401221740094,0.0287636624416336,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1555,,
8,0.051289408500334,0.0130472035422273,Rv3319,Rv0247c,Rv0248c,Rv3432c,Rv1248c,Rv1915,Rv0467,Rv1555,
8,0.0512894085142119,0.013047204814215,Rv3319,Rv0247c,Rv0248c,Rv3432c,Rv1248c,Rv0118c,Rv1837c,Rv1555,
8,0.0494565276683987,0.0125809492987633,Rv3319,Rv0247c,Rv0248c,Rv1248c,Rv1555,Rv1475c,Rv3290c,Rv2589,
8,0.051289408500334,0.0130472038097095,Rv3319,Rv0247c,Rv0248c,Rv0234c,Rv1731,Rv1915,Rv0467,Rv1555,
8,0.0516407829914406,0.00931078538446047,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv0859,
8,0.0512894085003342,0.0130472038337641,Rv3319,Rv0247c,Rv0248c,Rv0234c,Rv1731,Rv0118c,Rv1837c,Rv1555,
9,0.0512894085003342,0.013047203182303,Rv3319,Rv0247c,Rv0248c,Rv1248c,Rv0118c,Rv1837c,Rv1555,Rv3290c,Rv2589
9,0.051289408500334,0.0130472049181739,Rv3319,Rv0247c,Rv0248c,Rv1248c,Rv1915,Rv0467,Rv1555,Rv3290c,Rv2589
