Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
4,0.110106616113092,0.075643355375873,STM3869,STM2081,STM0007,STM2473,,,,,,
5,0.265371811831377,0.182310844860375,STM2555,STM2081,STM0733,STM0007,STM2473,,,,,
6,0.110106616113093,0.075643355376255,STM0169,STM0861,STM3869,STM0785,STM0007,STM2473,,,,
6,0.110106616113093,0.0756433553763256,STM3869,STM3542,STM4485,STM0785,STM0007,STM2473,,,,
6,0.110106616113093,0.075643355376255,STM1886,STM0169,STM0861,STM3869,STM0007,STM2473,,,,
6,0.110106616113093,0.0756433553763256,STM1886,STM3869,STM3542,STM4485,STM0007,STM2473,,,,
7,0.308887427866825,0.212206393042109,STM3053,STM3542,STM4485,STM0785,STM0733,STM0007,STM2473,,,
7,0.265371809565051,0.182310698542934,STM2555,STM1886,STM0169,STM0861,STM0733,STM0007,STM2473,,,
7,0.264448939310569,0.181676685755107,STM2555,STM2081,STM3359,STM1566,STM2472,STM0007,STM2473,,,
7,0.110106616113093,0.0756433553765707,STM4482,STM1886,STM3512,STM3541,STM3869,STM0007,STM2473,,,
7,0.110106616113093,0.0756433553765707,STM4482,STM3512,STM3541,STM3869,STM0785,STM0007,STM2473,,,
8,0.265371811831377,0.182310844847949,STM4482,STM2555,STM1886,STM3512,STM3541,STM0733,STM0007,STM2473,,
8,0.264738508527338,0.18187562008127,STM2555,STM1469,STM0761,STM1468,STM4300,STM2081,STM0007,STM2473,,
9,0.264448939310567,0.181676685755157,STM2555,STM1886,STM3542,STM4485,STM3359,STM1566,STM2472,STM0007,STM2473,
10,0.342639421490779,0.235393625205464,STM4482,STM0441,STM1886,STM3512,STM3541,STM3359,STM2403,STM0393,STM0007,STM2473
