Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.672089763006832,0.391051396067013,b2379,b2290,b3572,,
5,0.569719958854335,0.563065060014823,b3114,b3952,b0903,b0529,b1985
